epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,1551.24,1.56089,1.43104,1.64389,0.79321,0.61953,0.7037,0.41394,1.6643,1.45242,1.751,0.0002773,0.0002773,0.0002773
75,1573.09,1.53434,1.39376,1.6271,0.78229,0.62775,0.74051,0.40977,1.66245,1.45693,1.76124,0.0002674,0.0002674,0.0002674
76,1597.36,1.54854,1.38553,1.62923,0.82152,0.61806,0.71143,0.43031,1.59909,1.42742,1.74744,0.0002575,0.0002575,0.0002575
77,1618.59,1.55345,1.42075,1.63919,0.77289,0.59239,0.69172,0.41126,1.61663,1.48388,1.74488,0.0002476,0.0002476,0.0002476
78,1641.53,1.54329,1.37909,1.62122,0.74376,0.62171,0.70661,0.40889,1.62107,1.49024,1.73491,0.0002377,0.0002377,0.0002377
79,1666.92,1.55129,1.38677,1.61594,0.82714,0.61186,0.7131,0.42007,1.62069,1.40601,1.71794,0.0002278,0.0002278,0.0002278
80,1686.25,1.52371,1.3682,1.60898,0.81309,0.60639,0.71902,0.41924,1.64822,1.41266,1.77,0.0002179,0.0002179,0.0002179
81,1705.53,1.5264,1.37022,1.62092,0.71862,0.61164,0.69414,0.41444,1.65029,1.42828,1.75977,0.000208,0.000208,0.000208
82,1726.36,1.53738,1.37216,1.6073,0.82539,0.65812,0.73393,0.42998,1.63451,1.42633,1.74948,0.0001981,0.0001981,0.0001981
83,1745.4,1.52866,1.37055,1.60734,0.76158,0.6432,0.74188,0.43521,1.59765,1.39383,1.72043,0.0001882,0.0001882,0.0001882
84,1764.2,1.50822,1.34542,1.59862,0.77675,0.67249,0.74847,0.45021,1.60032,1.36194,1.72761,0.0001783,0.0001783,0.0001783
85,1784.24,1.53572,1.37457,1.62097,0.81086,0.62171,0.74771,0.43579,1.60592,1.39692,1.72084,0.0001684,0.0001684,0.0001684
86,1805.54,1.52009,1.37367,1.6171,0.65601,0.71617,0.73011,0.42845,1.56809,1.39203,1.71036,0.0001585,0.0001585,0.0001585
87,1832.41,1.51558,1.36311,1.60942,0.91689,0.60045,0.76441,0.44084,1.59869,1.33255,1.71015,0.0001486,0.0001486,0.0001486
88,1857.51,1.51615,1.34012,1.60124,0.76787,0.62928,0.75618,0.45496,1.57823,1.34647,1.71061,0.0001387,0.0001387,0.0001387
89,1883.07,1.49857,1.34184,1.59216,0.89841,0.62367,0.73544,0.43327,1.57419,1.34686,1.70347,0.0001288,0.0001288,0.0001288
90,1912.5,1.50681,1.34259,1.59604,0.8167,0.61243,0.72305,0.44306,1.57821,1.35856,1.72758,0.0001189,0.0001189,0.0001189
91,1935.58,1.50328,1.40436,1.67169,0.72359,0.61634,0.69355,0.41124,1.63147,1.39593,1.77687,0.000109,0.000109,0.000109
92,1954.27,1.48747,1.35386,1.66237,0.7332,0.69315,0.70695,0.43106,1.60548,1.38588,1.74556,9.91e-05,9.91e-05,9.91e-05
93,1977.71,1.48548,1.35995,1.66056,0.79058,0.66302,0.7706,0.45291,1.62047,1.33249,1.76346,8.92e-05,8.92e-05,8.92e-05
94,2007.88,1.47003,1.34016,1.64422,0.7882,0.57875,0.69946,0.41397,1.64509,1.38329,1.76804,7.93e-05,7.93e-05,7.93e-05
95,2035.58,1.46766,1.35038,1.65237,0.72769,0.69477,0.73204,0.42886,1.66157,1.34622,1.77085,6.94e-05,6.94e-05,6.94e-05
96,2060.56,1.46083,1.33097,1.63883,0.72194,0.67905,0.73622,0.44003,1.63904,1.32539,1.79225,5.95e-05,5.95e-05,5.95e-05
97,2082.8,1.45341,1.31371,1.64804,0.82478,0.60584,0.75104,0.4547,1.60728,1.3078,1.74832,4.96e-05,4.96e-05,4.96e-05
98,2103.57,1.45898,1.31112,1.63605,0.61742,0.76916,0.75698,0.46686,1.58011,1.31514,1.72907,3.97e-05,3.97e-05,3.97e-05
99,2124.97,1.46222,1.3078,1.64117,0.80539,0.5928,0.75969,0.44428,1.59384,1.32951,1.74236,2.98e-05,2.98e-05,2.98e-05
100,2144.34,1.44909,1.31017,1.62548,0.83555,0.62295,0.7664,0.45455,1.61003,1.33699,1.75264,1.99e-05,1.99e-05,1.99e-05
