epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,2446.92,0.36488,0.29096,0.93719,0.66459,0.42964,0.51874,0.27252,2.08051,2.28072,3.1474,0.0004357,0.0004357,0.0004357
59,2488.79,0.35488,0.28314,0.93151,0.53826,0.46603,0.51561,0.26565,2.00009,2.10059,3.0815,0.0004258,0.0004258,0.0004258
60,2530.63,0.34999,0.27886,0.92626,0.54096,0.49382,0.52954,0.25286,2.01808,2.23659,3.08031,0.0004159,0.0004159,0.0004159
61,2572.46,0.34424,0.27338,0.92334,0.49323,0.4824,0.47028,0.25189,1.98323,2.29704,3.05445,0.000406,0.000406,0.000406
62,2619.46,0.33614,0.26918,0.91867,0.48533,0.43917,0.47787,0.25321,2.07275,2.19073,3.0469,0.0003961,0.0003961,0.0003961
63,2670.55,0.3283,0.26296,0.91176,0.5907,0.50901,0.58205,0.29207,2.09109,2.23505,3.23218,0.0003862,0.0003862,0.0003862
64,2718.14,0.32612,0.26203,0.90973,0.50438,0.46109,0.49801,0.26064,2.06131,2.15877,3.22121,0.0003763,0.0003763,0.0003763
65,2765.34,0.3076,0.25166,0.90073,0.73385,0.42638,0.49587,0.26841,2.04328,2.4477,3.11392,0.0003664,0.0003664,0.0003664
66,2812.17,0.30683,0.2508,0.89867,0.71369,0.40426,0.51726,0.26703,2.03551,2.38255,3.14662,0.0003565,0.0003565,0.0003565
67,2858.99,0.29744,0.24368,0.89423,0.53916,0.45392,0.49632,0.25286,2.03397,2.2717,3.1193,0.0003466,0.0003466,0.0003466
68,2905.88,0.29615,0.24255,0.89293,0.49559,0.47579,0.49875,0.24741,2.06615,2.34956,3.13467,0.0003367,0.0003367,0.0003367
69,2953.57,0.28597,0.23575,0.88725,0.75794,0.39644,0.5134,0.25514,2.01951,2.30642,3.08098,0.0003268,0.0003268,0.0003268
70,3001.77,0.2767,0.23045,0.88214,0.5639,0.42389,0.46774,0.24947,1.96573,2.41094,2.99958,0.0003169,0.0003169,0.0003169
71,3049.74,0.28186,0.22999,0.88423,0.60286,0.49148,0.53104,0.26657,2.07388,2.3259,3.26254,0.000307,0.000307,0.000307
72,3096.99,0.26731,0.22299,0.87725,0.53618,0.50712,0.50234,0.2559,2.03607,2.211,3.17361,0.0002971,0.0002971,0.0002971
73,3144.42,0.25951,0.21816,0.8741,0.54706,0.49152,0.51698,0.25464,2.07719,2.23619,3.14478,0.0002872,0.0002872,0.0002872
74,3191.86,0.26164,0.2165,0.87264,0.54759,0.45302,0.50653,0.26092,2.06332,2.54856,3.20121,0.0002773,0.0002773,0.0002773
75,3240,0.25037,0.21064,0.86809,0.58826,0.51474,0.51637,0.2619,2.01432,2.47009,3.01656,0.0002674,0.0002674,0.0002674
76,3287.24,0.24293,0.20628,0.86527,0.57534,0.40802,0.49671,0.25415,2.05653,2.31044,3.12799,0.0002575,0.0002575,0.0002575
77,3333.63,0.24335,0.20425,0.86417,0.64316,0.47797,0.52208,0.25717,2.01127,2.35445,3.08162,0.0002476,0.0002476,0.0002476
78,3379.96,0.23506,0.19825,0.85993,0.50045,0.46182,0.5003,0.24646,2.03895,2.58441,3.13281,0.0002377,0.0002377,0.0002377
79,3426.42,0.22732,0.19556,0.85779,0.62494,0.48103,0.54338,0.27065,2.00147,2.47828,3.0722,0.0002278,0.0002278,0.0002278
80,3472.9,0.22227,0.19101,0.85416,0.60147,0.45588,0.51798,0.27045,1.98007,2.51909,3.02819,0.0002179,0.0002179,0.0002179
81,3519.46,0.21773,0.1875,0.85296,0.54329,0.44834,0.51588,0.26497,1.99154,2.51935,3.04362,0.000208,0.000208,0.000208
82,3565.73,0.21018,0.18355,0.85017,0.52069,0.44394,0.487,0.25943,2.03856,2.62298,3.07784,0.0001981,0.0001981,0.0001981
83,3612.1,0.20994,0.1814,0.85014,0.589,0.48288,0.52707,0.26487,2.05182,2.5362,3.11999,0.0001882,0.0001882,0.0001882
84,3658.81,0.2034,0.17737,0.84651,0.60647,0.4985,0.52672,0.28172,2.01409,2.33565,3.12226,0.0001783,0.0001783,0.0001783
85,3705.33,0.19953,0.17442,0.84457,0.54461,0.46501,0.5296,0.27111,2.01395,2.44961,3.09937,0.0001684,0.0001684,0.0001684
86,3751.81,0.1926,0.1717,0.84355,0.59398,0.46937,0.53303,0.28317,2.0493,2.55801,3.118,0.0001585,0.0001585,0.0001585
87,3798.17,0.19149,0.16841,0.84283,0.59608,0.5161,0.52786,0.26379,2.05759,2.42916,3.15988,0.0001486,0.0001486,0.0001486
88,3844.61,0.18438,0.16547,0.84002,0.62333,0.4737,0.541,0.28583,2.05672,2.50507,3.16393,0.0001387,0.0001387,0.0001387
89,3891.24,0.18052,0.16263,0.83839,0.63314,0.51574,0.52273,0.25971,2.09533,2.45382,3.22335,0.0001288,0.0001288,0.0001288
90,3937.66,0.17307,0.15874,0.83646,0.62734,0.50121,0.52642,0.26016,2.05179,2.47873,3.1782,0.0001189,0.0001189,0.0001189
91,3984.23,0.17119,0.15607,0.83469,0.52759,0.44451,0.51985,0.26073,2.04166,2.38723,3.12776,0.000109,0.000109,0.000109
92,4030.65,0.16525,0.15336,0.83383,0.52005,0.41527,0.52881,0.26488,2.02507,2.49835,3.11343,9.91e-05,9.91e-05,9.91e-05
93,4078.54,0.16226,0.15169,0.83179,0.58834,0.48114,0.53333,0.26498,2.01269,2.46618,3.16318,8.92e-05,8.92e-05,8.92e-05
94,4126.59,0.15601,0.1473,0.83096,0.57251,0.44859,0.5278,0.26451,2.01626,2.49106,3.10891,7.93e-05,7.93e-05,7.93e-05
95,4174.63,0.15343,0.14595,0.82958,0.57984,0.46564,0.53412,0.26776,2.01223,2.46195,3.09622,6.94e-05,6.94e-05,6.94e-05
96,4222.35,0.1484,0.1429,0.82922,0.5785,0.45904,0.53691,0.26388,2.00665,2.44571,3.0944,5.95e-05,5.95e-05,5.95e-05
97,4269.95,0.14516,0.14023,0.82801,0.58676,0.4657,0.55629,0.27372,2.00729,2.41438,3.10712,4.96e-05,4.96e-05,4.96e-05
98,4317.15,0.14136,0.1388,0.82738,0.7011,0.4243,0.53332,0.26562,2.00503,2.4445,3.0737,3.97e-05,3.97e-05,3.97e-05
99,4363.43,0.13871,0.13696,0.82663,0.53389,0.44954,0.52636,0.26283,2.01285,2.41581,3.09408,2.98e-05,2.98e-05,2.98e-05
100,4408.28,0.13633,0.13486,0.82559,0.58762,0.46492,0.52353,0.26248,2.03254,2.43894,3.1242,1.99e-05,1.99e-05,1.99e-05
